First_pokemon_HP,First_pokemon_ATK,First_pokemon_DEF,First_pokemon_SP_ATK,First_pokemon_DP_DEF,First_pokemon_Speed,First_pokemon_STATS_SUM,First_pokemon_RATIO,Second_pokemon_HP,Second_pokemon_ATK,Second_pokemon_DEF,Second_pokemon_SP_ATK,Second_pokemon_DP_DEF,Second_pokemon_Speed,Second_pokemon_STATS_SUM,Second_pokemon_RATIO,Relation
105,140,95,55,65,45,505,0.3,60,75,85,100,85,115,520,0.8992248062015504,0.5
64,66,68,81,76,50,405,0.25190839694656486,65,80,140,40,70,70,465,0.5223880597014925,1.0
65,95,75,55,55,85,430,0.6933333333333334,95,95,85,125,65,55,520,0.3894736842105263,1.0
72,58,80,103,80,97,490,0.7171052631578947,45,67,60,35,50,63,320,0.5128205128205128,1.0
20,10,230,10,230,5,505,0.0,135,85,40,40,85,5,390,0.6864406779661016,1.0
65,65,60,110,95,130,525,0.9253731343283582,60,90,140,50,50,40,430,0.2535211267605634,1.0
55,85,55,50,55,60,360,0.4233576642335766,40,65,40,80,40,65,330,0.5038167938931297,2.0
60,50,40,85,75,95,405,0.7540983606557377,75,89,85,55,65,36,405,0.29545454545454547,0.5
60,75,85,100,85,115,520,0.8992248062015504,65,65,60,130,95,110,525,0.823943661971831,0.5
35,80,50,50,70,120,405,0.84375,60,100,115,70,85,90,520,0.7557251908396947,2.0
80,160,60,170,130,80,680,0.6180555555555556,135,85,40,40,85,5,390,0.6864406779661016,1.0
45,75,37,70,55,83,365,0.6183206106870229,55,81,60,50,70,97,413,0.7214285714285714,1.0
59,66,70,44,55,41,335,0.25190839694656486,75,75,95,75,95,113,528,0.9015151515151515,0.5
65,80,65,35,65,60,370,0.38405797101449274,165,75,80,40,45,65,470,0.5151515151515151,1.0
60,90,140,50,50,40,430,0.2535211267605634,73,115,60,60,60,90,458,0.6694915254237288,1.0
65,55,115,100,40,60,435,0.3798449612403101,55,68,64,45,55,31,318,0.11666666666666667,0.5
50,75,75,65,65,50,380,0.4049586776859504,55,45,50,45,65,80,340,0.5546218487394958,1.0
125,58,58,76,76,67,460,0.515625,70,120,100,145,105,20,560,0.2824427480916031,0.0
50,105,125,55,95,50,480,0.375886524822695,70,115,60,115,60,55,475,0.4647887323943662,2.0
50,20,55,25,25,30,205,0.09774436090225563,60,75,85,100,85,115,520,0.8992248062015504,2.0
45,30,15,85,65,65,305,0.36220472440944884,59,59,58,90,70,73,409,0.5826086956521739,0.5
70,110,70,115,70,90,525,0.75,45,50,55,75,65,30,320,0.06293706293706294,0.5
105,180,100,180,100,115,780,0.9477611940298507,115,115,85,90,75,100,580,0.8134328358208955,1.0
85,80,70,135,75,90,535,0.7006802721088435,89,145,90,105,80,91,600,0.8549618320610687,1.0
84,86,88,111,101,60,530,0.4634146341463415,110,65,105,55,95,80,510,0.6258503401360545,1.0
45,20,50,60,120,50,345,0.24074074074074073,45,60,40,70,50,45,310,0.2846715328467153,2.0
55,112,45,74,45,70,401,0.559322033898305,20,25,45,70,90,60,310,0.30833333333333335,1.0
70,55,95,95,110,65,490,0.48872180451127817,60,60,60,60,60,60,360,0.38095238095238093,1.0
50,53,48,53,48,64,316,0.4076923076923077,40,45,40,65,40,65,295,0.5661764705882353,1.0
65,95,75,55,55,85,430,0.6933333333333334,90,93,55,70,55,55,418,0.3819444444444444,2.0
50,50,40,50,40,64,294,0.45588235294117646,79,85,60,55,60,71,410,0.60431654676259,0.5
76,48,48,57,62,34,325,0.11688311688311688,55,70,55,40,55,85,360,0.7073170731707317,1.0
30,45,59,30,39,57,260,0.2803030303030303,40,80,100,30,30,20,300,0.11851851851851852,0.25
35,20,65,40,65,20,245,0.02459016393442623,45,53,70,40,60,42,310,0.25735294117647056,1.0
60,70,50,100,50,65,395,0.5217391304347826,57,24,86,24,86,23,300,0.12727272727272726,0.5
80,50,100,100,200,50,580,0.2357142857142857,50,65,107,105,107,86,520,0.7272727272727273,2.0
41,64,45,50,50,50,300,0.36752136752136755,70,100,115,30,65,30,410,0.24390243902439024,1.0
255,10,10,75,135,55,540,0.3125,65,75,90,97,123,44,494,0.1987179487179487,1.0
60,67,85,77,75,116,480,0.8888888888888888,40,30,32,50,52,65,269,0.3671875,1.0
80,75,150,75,150,50,580,0.30973451327433627,40,70,130,60,130,25,455,0.17355371900826447,1.0
70,70,40,60,40,60,340,0.4247787610619469,60,60,60,60,60,60,360,0.38095238095238093,1.0
66,117,70,40,50,67,410,0.4573643410852713,55,95,55,35,75,115,430,0.9380530973451328,1.0
71,120,95,120,95,99,600,0.8203125,70,80,70,80,70,110,480,0.6594202898550725,1.0
80,145,150,105,110,110,700,0.8692307692307693,72,60,30,20,30,25,237,0.11570247933884298,1.0
71,82,64,64,59,112,452,0.9327731092436975,65,70,60,65,65,115,440,0.8583333333333333,1.0
64,88,50,88,50,106,446,0.9111111111111111,91,72,90,129,90,108,580,0.8620689655172413,0.5
108,170,115,120,95,92,700,0.7083333333333334,35,55,40,45,40,60,275,0.35714285714285715,2.0
135,85,40,40,85,5,390,0.6864406779661016,78,130,111,130,85,100,634,0.8561151079136691,1.0
25,20,15,105,55,90,310,0.32407407407407407,60,30,30,36,56,50,262,0.32432432432432434,1.0
103,60,86,60,86,50,445,0.3458646616541353,91,134,95,100,100,80,600,0.6304347826086957,1.0
75,38,38,56,56,67,330,0.5263157894736842,100,103,75,120,75,127,600,0.940677966101695,0.5
78,70,61,50,61,100,420,0.8145161290322581,78,92,75,74,63,118,500,0.8842975206611571,1.0
50,55,50,36,30,43,264,0.2922077922077922,70,55,75,45,65,60,370,0.45901639344262296,1.0
50,85,85,55,55,50,380,0.3902439024390244,75,80,95,90,100,50,490,0.2158273381294964,1.0
60,80,95,70,85,50,440,0.2231404958677686,58,64,58,80,65,80,405,0.609271523178808,0.5
55,84,105,114,75,52,485,0.2890625,60,50,40,85,75,95,405,0.7540983606557377,1.0
65,85,70,75,70,40,405,0.203125,95,60,79,100,125,81,540,0.6201550387596899,2.0
35,45,160,30,45,70,385,0.48148148148148145,190,33,58,33,58,33,405,0.13432835820895522,1.0
60,45,70,75,85,55,390,0.3008130081300813,100,100,100,100,100,100,600,0.8602941176470589,1.0
150,160,100,95,65,100,670,0.8866666666666667,90,95,105,165,110,45,610,0.2890625,1.0
100,103,75,120,75,127,600,0.940677966101695,90,120,100,150,120,100,680,0.7718120805369127,1.0
50,72,35,35,35,65,292,0.5373134328358209,80,185,115,40,105,75,600,0.6230769230769231,0.25
85,105,85,40,50,40,405,0.211864406779661,109,66,84,81,99,32,471,0.2013888888888889,1.0
95,60,79,100,125,81,540,0.6201550387596899,75,140,65,112,65,110,567,0.9140625,2.0
100,100,100,100,100,100,600,0.8778625954198473,85,56,77,50,77,78,423,0.53125,2.0
70,80,65,90,65,85,455,0.578125,80,105,105,105,105,80,580,0.5939849624060151,0.5
61,90,45,50,50,160,456,0.9230769230769231,64,115,65,83,63,65,455,0.5323741007194245,0.5
45,22,60,27,30,29,213,0.07518796992481203,63,120,85,90,55,55,468,0.2809917355371901,2.0
75,80,55,25,35,35,305,0.18666666666666668,45,60,45,25,45,55,275,0.29,2.0
75,85,200,55,65,30,510,0.16778523489932887,60,25,35,70,80,60,330,0.3076923076923077,1.0
60,75,85,100,85,115,520,0.8992248062015504,30,56,35,25,35,72,253,0.48148148148148145,1.0
60,50,40,85,75,95,405,0.7540983606557377,50,85,125,85,115,20,480,0.4306569343065693,1.0
40,30,32,50,52,65,269,0.3671875,110,160,110,80,110,100,670,0.8591549295774648,1.0
80,80,80,80,80,80,480,0.6015037593984962,70,90,90,135,90,125,600,0.9401709401709402,1.0
70,110,70,115,70,90,525,0.75,65,70,60,65,65,115,440,0.8583333333333333,2.0
65,40,50,125,60,30,370,0.07258064516129033,75,98,63,98,63,101,498,0.8091603053435115,1.0
55,70,55,40,55,85,360,0.7073170731707317,60,50,150,50,150,60,520,0.5206611570247934,0.0
45,40,60,40,75,50,310,0.2926829268292683,65,90,65,61,61,100,442,0.8373983739837398,1.0
60,50,150,50,150,60,520,0.5206611570247934,66,41,77,61,87,23,355,0.12096774193548387,2.0
125,58,58,76,76,67,460,0.515625,79,115,70,125,80,111,580,0.864,1.0
70,60,125,115,70,55,495,0.35507246376811596,80,100,70,50,60,45,405,0.25806451612903225,0.5
90,110,80,100,80,95,555,0.7982456140350878,60,55,145,75,150,40,525,0.2,1.0
84,71,43,71,43,48,360,0.25874125874125875,40,80,35,35,45,70,305,0.4661016949152542,1.0
100,100,100,100,100,100,600,0.8345864661654135,38,35,40,27,25,35,200,0.08208955223880597,0.5
65,75,90,97,123,44,494,0.1987179487179487,100,100,90,150,140,90,670,0.71875,1.0
60,80,110,50,80,45,425,0.2833333333333333,38,41,40,50,65,65,299,0.4108527131782946,2.0
51,65,65,80,75,59,395,0.4365079365079365,30,65,100,45,25,40,305,0.1891891891891892,0.5
30,42,118,42,88,30,350,0.112,56,61,65,48,45,38,313,0.17567567567567569,1.0
70,110,180,60,60,50,530,0.4117647058823529,70,55,75,45,65,60,370,0.45901639344262296,2.0
35,65,35,65,35,65,300,0.46621621621621623,89,125,90,115,80,101,600,0.8725490196078431,2.0
104,91,63,91,73,68,490,0.5118110236220472,83,80,75,70,70,101,479,0.8615384615384616,1.0
60,55,50,40,55,45,305,0.22377622377622378,65,95,57,100,85,93,495,0.7441860465116279,0.5
50,52,48,65,50,55,320,0.33098591549295775,70,100,70,105,75,40,460,0.23214285714285715,4.0
40,35,30,20,20,50,195,0.23423423423423423,42,52,67,39,56,50,306,0.2868217054263566,0.5
55,45,50,45,65,80,340,0.5546218487394958,65,90,50,85,45,55,390,0.371900826446281,0.5
80,80,50,40,50,25,325,0.176056338028169,50,85,40,85,40,35,335,0.1746031746031746,2.0
75,100,110,45,55,65,450,0.5333333333333333,65,75,70,95,70,95,470,0.7272727272727273,0.0
40,80,35,35,45,70,305,0.4661016949152542,45,60,32,50,32,76,295,0.5925925925925926,1.0
45,49,65,49,65,45,318,0.275,85,73,70,73,115,67,483,0.5126050420168067,1.0
150,160,100,95,65,100,670,0.8866666666666667,105,105,75,65,100,50,500,0.37593984962406013,1.0
50,105,125,55,95,50,480,0.375886524822695,75,110,110,110,105,80,590,0.656934306569343,1.0
50,55,50,36,30,43,264,0.2922077922077922,35,65,35,65,35,65,300,0.46621621621621623,1.0
45,50,43,40,38,62,278,0.40441176470588236,58,50,145,95,105,30,483,0.2459016393442623,0.0
55,50,40,40,40,75,300,0.5945945945945946,68,65,65,125,115,80,518,0.6461538461538462,1.0
100,123,75,57,75,80,510,0.6923076923076923,57,80,91,80,87,75,470,0.5737704918032787,0.25
82,121,119,69,59,71,521,0.5394736842105263,100,70,70,65,65,45,415,0.1897810218978102,1.0
40,55,99,40,79,47,360,0.26262626262626265,60,82,45,45,45,74,351,0.5752212389380531,1.0
90,92,75,92,85,60,494,0.49586776859504134,65,76,84,54,96,105,480,0.9008264462809917,1.0
80,120,130,55,65,45,495,0.37037037037037035,50,92,108,92,108,35,485,0.2457627118644068,1.0
160,110,65,65,110,30,540,0.35714285714285715,110,135,60,50,65,88,508,0.7744360902255639,0.5
130,70,35,70,35,60,400,0.4017857142857143,90,60,60,40,40,40,330,0.29545454545454547,2.0
49,55,42,42,37,85,310,0.6068376068376068,85,56,77,50,77,78,423,0.53125,1.0
45,50,43,40,38,62,278,0.40441176470588236,65,125,100,55,70,85,500,0.6532258064516129,2.0
20,10,230,10,230,5,505,0.0,45,60,40,70,50,45,310,0.2846715328467153,1.0
70,130,100,55,80,65,500,0.608,55,65,95,95,45,85,440,0.6610169491525424,0.5
40,27,60,37,50,66,280,0.36220472440944884,123,100,62,97,81,68,531,0.4806201550387597,0.5
110,65,75,125,85,30,490,0.15,80,70,40,100,60,145,495,0.921875,1.0
50,50,77,95,77,91,440,0.5916666666666667,125,58,58,76,76,67,460,0.515625,1.0
70,94,50,94,50,66,424,0.48148148148148145,30,30,42,30,42,70,244,0.4230769230769231,1.0
100,134,110,95,100,61,600,0.4057971014492754,70,50,30,95,135,105,485,0.8040540540540541,2.0
83,80,80,135,80,121,579,0.9444444444444444,79,115,70,125,80,111,580,0.864,0.5
43,80,65,50,35,35,308,0.14193548387096774,100,123,75,57,75,80,510,0.6923076923076923,1.0
70,120,100,145,105,20,560,0.2824427480916031,100,70,70,65,65,45,415,0.1897810218978102,1.0
76,147,90,60,70,97,540,0.8267716535433071,55,81,60,50,70,97,413,0.7214285714285714,1.0
75,75,130,75,130,95,580,0.7479674796747967,55,45,45,25,25,15,210,0.048,2.0
90,100,90,125,85,90,580,0.7352941176470589,50,53,48,53,48,64,316,0.358974358974359,0.5
40,60,30,31,31,70,262,0.4492753623188406,65,90,50,85,45,55,390,0.371900826446281,2.0
49,55,42,42,37,85,310,0.6068376068376068,80,82,78,95,80,85,500,0.6869565217391305,1.0
69,69,76,69,86,91,460,0.6554621848739496,60,70,50,100,50,65,395,0.5217391304347826,1.0
37,25,41,25,41,25,194,0.08870967741935484,80,50,100,100,200,50,580,0.2357142857142857,1.0
110,130,80,70,60,80,530,0.5862068965517241,58,64,58,80,65,80,405,0.5423728813559322,1.0
35,60,44,40,54,55,288,0.366412213740458,50,25,28,45,55,15,218,0.0625,2.0
80,115,80,65,55,93,488,0.7846153846153846,80,120,70,110,70,80,530,0.6422764227642277,2.0
75,38,38,56,56,67,330,0.5263157894736842,86,76,86,116,56,95,515,0.7982456140350878,2.0
100,110,90,85,90,60,535,0.47794117647058826,68,75,53,83,113,60,452,0.45384615384615384,0.5
30,30,42,30,42,70,244,0.4230769230769231,110,160,110,80,110,100,670,0.8591549295774648,1.0
60,90,70,60,120,40,440,0.27419354838709675,60,82,45,45,45,74,351,0.5752212389380531,1.0
30,35,30,100,35,80,310,0.4765625,48,72,48,72,48,48,336,0.25984251968503935,2.0
70,150,140,65,100,75,600,0.55,60,115,105,65,70,80,495,0.7181818181818181,1.0
103,60,126,80,126,50,545,0.36363636363636365,106,190,100,154,100,130,780,0.9259259259259259,2.0
105,95,75,85,75,74,509,0.5714285714285714,72,85,70,65,70,58,420,0.41304347826086957,0.5
106,130,90,110,154,90,680,0.719626168224299,50,65,107,105,107,86,520,0.703125,1.0
44,58,44,58,44,61,309,0.41964285714285715,60,90,70,60,120,40,440,0.27419354838709675,1.0
60,62,80,63,80,60,405,0.4336283185840708,45,60,40,70,50,45,310,0.2846715328467153,0.5
55,65,35,60,30,85,330,0.6126126126126126,73,100,60,100,60,65,458,0.42657342657342656,1.0
74,100,72,90,72,46,454,0.24561403508771928,60,50,40,85,75,95,405,0.7540983606557377,1.0
70,120,40,95,40,95,460,0.8106060606060606,100,100,100,100,100,100,600,0.8758169934640523,2.0
60,40,60,95,60,55,370,0.4222222222222222,40,45,35,65,55,70,310,0.4482758620689655,2.0
75,87,63,87,63,98,473,0.865546218487395,80,110,120,130,90,70,600,0.6198347107438017,1.0
39,52,43,60,50,65,309,0.5041322314049587,70,120,40,95,40,95,460,0.8106060606060606,0.5
150,80,44,90,54,80,498,0.625,130,85,80,85,95,60,535,0.43884892086330934,1.0
35,55,35,30,30,35,220,0.23684210526315788,100,5,5,15,65,30,220,0.07692307692307693,1.0
76,65,45,92,42,91,411,0.7449664429530202,70,85,140,85,70,20,470,0.272,1.0
70,120,65,45,85,125,510,0.9747899159663865,126,131,95,131,98,99,680,0.8102189781021898,1.0
105,105,75,65,100,50,500,0.37593984962406013,80,70,40,100,60,145,495,0.921875,1.0
60,90,55,90,80,110,485,0.8677685950413223,70,90,45,15,45,50,315,0.3629032258064516,1.0
62,50,58,73,54,72,369,0.4435483870967742,65,65,65,50,50,90,385,0.72,0.5
30,35,30,100,35,80,310,0.4765625,108,170,115,120,95,92,700,0.7083333333333334,0.5
106,110,90,154,90,130,680,0.926829268292683,65,70,60,65,65,115,440,0.8583333333333333,1.0
40,55,30,30,30,85,270,0.688,30,65,100,45,25,40,305,0.1891891891891892,1.0
55,50,45,135,95,120,500,0.7714285714285715,65,65,60,110,95,130,525,0.9253731343283582,1.0
50,55,50,36,30,43,264,0.2922077922077922,73,95,62,85,65,85,465,0.6666666666666666,1.0
80,50,100,100,200,50,580,0.2357142857142857,100,120,120,150,100,90,680,0.7880794701986755,1.0
70,60,125,115,70,55,495,0.35507246376811596,68,125,65,65,115,80,518,0.6277372262773723,0.5
110,78,73,76,71,60,468,0.3333333333333333,95,145,130,120,90,120,700,0.9398496240601504,0.0
50,95,90,95,90,180,600,0.9172413793103448,72,60,30,20,30,25,237,0.11570247933884298,1.0
90,120,120,60,60,50,500,0.35294117647058826,40,30,32,50,52,65,269,0.3671875,0.5
43,70,48,50,60,38,309,0.2391304347826087,91,90,72,90,129,108,580,0.896,0.5
50,95,180,85,45,70,525,0.5298507462686567,125,120,90,170,100,95,700,0.78125,0.5
78,104,78,159,115,100,634,0.8444444444444444,65,130,60,95,110,65,525,0.5303030303030303,0.5
55,75,85,25,25,15,280,0.1875,125,120,90,170,100,95,700,0.78125,2.0
30,30,30,30,30,30,180,0.12612612612612611,44,75,35,63,33,45,295,0.2647058823529412,1.0
101,72,72,99,89,29,462,0.1937984496124031,75,100,66,60,66,115,482,0.918918918918919,1.0
65,130,60,75,60,75,465,0.689922480620155,70,45,48,60,65,35,323,0.15748031496062992,0.5
55,66,44,44,56,85,350,0.6888888888888889,85,90,80,70,80,130,535,0.9262295081967213,1.0
63,60,55,50,50,71,349,0.5289256198347108,43,70,48,50,60,38,309,0.2391304347826087,0.0
78,52,60,63,65,23,341,0.06015037593984962,40,40,55,40,70,55,300,0.40939597315436244,1.0
90,120,100,150,120,100,680,0.7718120805369127,50,47,50,57,50,65,319,0.463768115942029,1.0
70,85,65,105,85,120,530,0.9262295081967213,65,60,110,130,95,65,525,0.47761194029850745,1.0
79,105,70,145,80,101,580,0.8608695652173913,70,45,48,60,65,35,323,0.15748031496062992,1.0
100,180,160,150,90,90,770,0.7520661157024794,55,45,50,45,65,80,340,0.5546218487394958,0.0
45,55,39,35,39,42,255,0.18518518518518517,75,100,66,60,66,115,482,0.918918918918919,1.0
85,90,80,70,80,130,535,0.9262295081967213,50,120,53,35,110,87,455,0.640625,2.0
75,65,55,65,55,69,384,0.43548387096774194,80,120,79,95,79,70,523,0.5833333333333334,2.0
60,105,60,120,60,105,510,0.8849557522123894,30,105,90,25,25,50,325,0.2773722627737226,1.0
